Time,Year,Quarter,Beer.Production
1,1956,Q1,284
2,1956,Q2,213
3,1956,Q3,227
4,1956,Q4,308
5,1957,Q1,262
6,1957,Q2,228
7,1957,Q3,236
8,1957,Q4,320
9,1958,Q1,272
10,1958,Q2,233
11,1958,Q3,237
12,1958,Q4,313
13,1959,Q1,261
14,1959,Q2,227
15,1959,Q3,250
16,1959,Q4,314
17,1960,Q1,286
18,1960,Q2,227
19,1960,Q3,260
20,1960,Q4,311
21,1961,Q1,295
22,1961,Q2,233
23,1961,Q3,257
24,1961,Q4,339
25,1962,Q1,279
26,1962,Q2,250
27,1962,Q3,270
28,1962,Q4,346
29,1963,Q1,294
30,1963,Q2,255
31,1963,Q3,278
32,1963,Q4,363
33,1964,Q1,313
34,1964,Q2,273
35,1964,Q3,300
36,1964,Q4,370
37,1965,Q1,331
38,1965,Q2,288
39,1965,Q3,306
40,1965,Q4,386
41,1966,Q1,335
42,1966,Q2,288
43,1966,Q3,308
44,1966,Q4,402
45,1967,Q1,353
46,1967,Q2,316
47,1967,Q3,325
48,1967,Q4,405
49,1968,Q1,393
50,1968,Q2,319
51,1968,Q3,327
52,1968,Q4,442
53,1969,Q1,383
54,1969,Q2,332
55,1969,Q3,361
56,1969,Q4,446
57,1970,Q1,387
58,1970,Q2,357
59,1970,Q3,374
60,1970,Q4,466
61,1971,Q1,410
62,1971,Q2,370
63,1971,Q3,379
64,1971,Q4,487
65,1972,Q1,419
66,1972,Q2,378
67,1972,Q3,393
68,1972,Q4,506
69,1973,Q1,458
70,1973,Q2,387
71,1973,Q3,427
72,1973,Q4,565
73,1974,Q1,465
74,1974,Q2,445
75,1974,Q3,450
76,1974,Q4,556
77,1975,Q1,500
78,1975,Q2,452
79,1975,Q3,435
80,1975,Q4,554
81,1976,Q1,510
82,1976,Q2,433
83,1976,Q3,453
84,1976,Q4,548
85,1977,Q1,486
86,1977,Q2,453
87,1977,Q3,457
88,1977,Q4,566
89,1978,Q1,515
90,1978,Q2,464
91,1978,Q3,431
92,1978,Q4,588
93,1979,Q1,503
94,1979,Q2,443
95,1979,Q3,448
96,1979,Q4,555
97,1980,Q1,513
98,1980,Q2,427
99,1980,Q3,473
100,1980,Q4,526
101,1981,Q1,548
102,1981,Q2,440
103,1981,Q3,469
104,1981,Q4,575
105,1982,Q1,493
106,1982,Q2,433
107,1982,Q3,480
108,1982,Q4,576
109,1983,Q1,475
110,1983,Q2,405
111,1983,Q3,435
112,1983,Q4,535
113,1984,Q1,453
114,1984,Q2,430
115,1984,Q3,417
116,1984,Q4,552
117,1985,Q1,464
118,1985,Q2,417
119,1985,Q3,423
120,1985,Q4,554
121,1986,Q1,459
122,1986,Q2,428
123,1986,Q3,429
124,1986,Q4,534
125,1987,Q1,481
126,1987,Q2,416
127,1987,Q3,440
128,1987,Q4,538
129,1988,Q1,474
130,1988,Q2,440
131,1988,Q3,447
132,1988,Q4,598
133,1989,Q1,467
134,1989,Q2,439
135,1989,Q3,446
136,1989,Q4,567
137,1990,Q1,485
138,1990,Q2,441
139,1990,Q3,429
140,1990,Q4,599
141,1991,Q1,464
142,1991,Q2,424
143,1991,Q3,436
144,1991,Q4,574
145,1992,Q1,443
146,1992,Q2,410
147,1992,Q3,420
148,1992,Q4,532
149,1993,Q1,433
150,1993,Q2,421
151,1993,Q3,410
152,1993,Q4,512
153,1994,Q1,449
154,1994,Q2,381
155,1994,Q3,423
156,1994,Q4,531
157,1995,Q1,426
158,1995,Q2,408
159,1995,Q3,416
160,1995,Q4,520
161,1996,Q1,409
162,1996,Q2,398
163,1996,Q3,398
164,1996,Q4,507
165,1997,Q1,432
166,1997,Q2,398
167,1997,Q3,406
168,1997,Q4,526
169,1998,Q1,428
170,1998,Q2,397
171,1998,Q3,403
172,1998,Q4,517
173,1999,Q1,435
174,1999,Q2,383
175,1999,Q3,424
176,1999,Q4,521
177,2000,Q1,421
178,2000,Q2,402
179,2000,Q3,414
180,2000,Q4,500
181,2001,Q1,451
182,2001,Q2,380
183,2001,Q3,416
184,2001,Q4,492
185,2002,Q1,428
186,2002,Q2,408
187,2002,Q3,406
188,2002,Q4,506
189,2003,Q1,435
190,2003,Q2,380
191,2003,Q3,421
192,2003,Q4,490
193,2004,Q1,435
194,2004,Q2,390
195,2004,Q3,412
196,2004,Q4,454
197,2005,Q1,416
198,2005,Q2,403
199,2005,Q3,408
200,2005,Q4,482
201,2006,Q1,438
202,2006,Q2,386
203,2006,Q3,405
204,2006,Q4,491
205,2007,Q1,427
206,2007,Q2,383
207,2007,Q3,394
208,2007,Q4,473
209,2008,Q1,420
210,2008,Q2,390
211,2008,Q3,410
212,2008,Q4,488
213,2009,Q1,415
214,2009,Q2,398
215,2009,Q3,419
216,2009,Q4,488
217,2010,Q1,414
218,2010,Q2,374
